f_property_type,f_neighbourhood_cleansed,f_host_response_time,price,n_accommodates,n_bathrooms,n_bedrooms,n_beds,n_review_scores_rating,n_number_of_reviews,n_reviews_per_month,n_minimum_nights,d_baby_bath,d_babysitter_recommendations,d_baking_sheet,d_bathroom_essentials,d_beach_essentials,d_bread_maker,d_building_staff,d_carbon_monoxide_alarm,d_changing_table,d_cleaning_products,d_dining_table,d_drying_rack_for_clothing,d_elevator,d_essentials,d_ethernet_connection,d_extra_pillows_and_blankets,d_fire_extinguisher,d_fire_pit,d_fireplace_guards,d_game_console,d_hangers,d_high_chair,d_host_greets_you,d_hot_water,d_hot_water_kettle,d_indoor_fireplace,d_keypad,d_lake_access,d_laundromat_nearby,d_lock_on_bedroom_door,d_lockbox,d_long_term_stays_allowed,d_luggage_dropoff_allowed,d_microwave,d_outdoor_dining_area,d_outdoor_furniture,d_private_entrance,d_roomdarkening_shades,d_security_cameras_on_property,d_single_level_home,d_smart_lock,d_smoke_alarm,d_waterfront,d_have_kitchen,d_have_stove,d_have_oven,d_refrigerator,d_coffee_machine,d_bbq_equipment,d_free_parking,d_paid_parking,d_bath_tub,d_linens,d_wifi,d_streaming_services,d_tv,d_sound_system,d_shampoo_conditioner,d_body_wash,d_have_washer,d_have_dryer,d_have_iron,d_have_heating,d_cooling,d_balcony,d_garden,d_have_board_game,d_clothing_storage,d_have_breakfast,d_have_cleaning_before_checkout,d_have_workspace,d_cutlary_glasses,d_have_first_aid,d_have_sauna,d_have_fitnessgym,d_family_friendly,d_have_pool,d_have_crib,d_host_is_superhost,d_host_identity_verified,d_instant_bookable,local_price,id,host_id,neighbourhood_cleansed,room_type,property_type,ln_price,d_flag_bedrooms,flag_review_scores_rating,flag_host_acceptance_rate,p_host_acceptance_rate,flag_host_response_rate,p_host_response_rate,flag_host_response_time,flag_days_since_first_review,n_days_since_first_review,flag_reviews_per_month,f_days_since_first_review,f_bathroom,f_bedroom,f_beds,f_review_score_rating,f_number_of_reviews,f_minimum_nights,ln_number_of_reviews,ln_days_since_first_review
Condo,Melbourne,1,82.36,2,1,1,1,4.83,252,2.51,4,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,116,1752177,6458973,Melbourne,Entire home/apt,Condo,4.411099882159589,0,0,0,97,0,100,0,0,3007,0,3,1,1,1,4.5+,3,4,5.53338948872752,8.008698182988528
Loft,Yarra,missing,142,6,1.5,2,3,4.74,154,1.55,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,200,1888612,4926441,Yarra,Entire home/apt,Loft,4.955827057601261,0,0,1,96,1,98,1,0,2973,0,3,1,2,3,4.5+,3,2,5.043425116919247,7.997326822998097
Loft,Port Phillip,1,145.54999999999998,2,1,1,1,4.7,353,3.69,2,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,205,2292052,10621363,Port Phillip,Entire home/apt,Loft,4.980519670191632,0,0,0,99,0,100,0,0,2868,0,3,1,1,1,4.5+,3,2,5.869296913133774,7.961370201719511
Loft,Port Phillip,missing,78.1,4,1,1,4,4.91,642,7.64,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,0,110,2449576,3373049,Port Phillip,Entire home/apt,Loft,4.35799005684564,0,0,0,50,1,98,1,0,2519,0,3,1,1,3,4.5+,1,1,6.466144724237619,7.831617276352611
Condo,Yarra,1,98.69,5,2,2,4,4.8,15,0.33,5,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,139,2638458,2478306,Yarra,Entire home/apt,Condo,4.591983624183916,0,0,0,97,0,100,0,0,1364,0,3,2,2,3,4.5+,2,4,2.772588722239781,7.218176838403408
Condo,Stonnington,1,71,2,1,1,1,4.57,23,0.25,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,100,2733270,3670333,Stonnington,Entire home/apt,Condo,4.2626798770413155,0,0,1,96,0,100,0,0,2760,0,3,1,1,1,4.5+,2,4,3.1780538303479458,7.9229859587111955
Loft,Port Phillip,missing,67.45,2,1,1,1,4.8,0,0.85,60,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,95,3085218,15699429,Port Phillip,Entire home/apt,Loft,4.211386582653765,0,1,1,96,1,98,1,1,736.5,1,2,1,1,1,4.5+,1,4,0,6.601909235902685
Condo,Port Phillip,1,143.42,5,1,2,3,4.78,32,0.51,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,202,3095219,2692055,Port Phillip,Entire home/apt,Condo,4.965777388454429,0,0,0,88,0,90,0,0,1883,0,3,1,2,3,4.5+,2,2,3.4965075614664802,7.5406215286571525
Condo,Stonnington,missing,102.24,2,1,1,1,5,27,0.44,180,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,144,3168902,1424257,Stonnington,Entire home/apt,Condo,4.627322990629224,0,0,1,96,1,98,1,0,1840,0,3,1,1,1,4.5+,2,4,3.332204510175204,7.517520850603031
Condo,Port Phillip,1,146.26,5,1,2,2,4.84,50,0.54,3,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,206,3171265,15265157,Port Phillip,Entire home/apt,Condo,4.985385859842805,0,0,0,96,0,100,0,0,2769,0,3,1,2,2,4.5+,2,3,3.9318256327243257,7.926241523170962
