f_property_type,f_neighbourhood_cleansed,f_host_response_time,price,n_host_response_rate,n_host_acceptance_rate,n_accommodates,n_bathrooms,n_bedrooms,n_beds,n_review_scores_rating,n_number_of_reviews,n_reviews_per_month,n_minimum_nights,n_calculated_host_listings_count,n_days_since,d_reviews_per_month,d_baby_bath,d_babysitter_recommendations,d_baking_sheet,d_bathroom_essentials,d_beach_essentials,d_bread_maker,d_building_staff,d_carbon_monoxide_alarm,d_changing_table,d_cleaning_products,d_dining_table,d_drying_rack_for_clothing,d_elevator,d_essentials,d_ethernet_connection,d_extra_pillows_and_blankets,d_fire_extinguisher,d_fire_pit,d_fireplace_guards,d_game_console,d_hangers,d_high_chair,d_host_greets_you,d_hot_water,d_hot_water_kettle,d_indoor_fireplace,d_keypad,d_lake_access,d_laundromat_nearby,d_lock_on_bedroom_door,d_lockbox,d_long_term_stays_allowed,d_luggage_dropoff_allowed,d_microwave,d_outdoor_dining_area,d_outdoor_furniture,d_private_entrance,d_roomdarkening_shades,d_security_cameras_on_property,d_single_level_home,d_smart_lock,d_smoke_alarm,d_waterfront,d_have_kitchen,d_have_stove,d_have_oven,d_have_refrigeratorfridgefreezer,d_have_coffeenespresso,d_have_bbq_grilbarbecue,d_have_freeon_premisesfreestreet,d_have_paidparking,d_have_bathtubbath_tubhot_tub,d_have_linenscomforts,d_have_wifiinternet,d_have_netflixamazoneapplerokuhbo,d_have_tvhdtv,d_have_speakerssound_system,d_have_shampooconditioner,d_have_body_soapbody_washshower_gel,d_have_washer,d_have_dryer,d_have_iron,d_have_heating,d_have_air_condfan,d_have_patio_or_balconyterrace,d_have_backyardgarden,d_have_board_game,d_have_closetwardrobeclothing_storage,d_have_breakfast,d_have_cleaning_before_checkout,d_have_workspace,d_have_cooking_basicsdishesrice_makertoasterglasses,d_have_first_aid,d_have_sauna,d_have_fitnessgym,d_have_children2551010,d_have_pool,d_have_crib,d_host_is_superhost,d_host_identity_verified,d_instant_bookable,local_price,id,host_id,neighbourhood_cleansed,room_type,property_type
Condo,Melbourne,NA,39.05,NA,NA,4,1,1,2,NA,0,NA,1,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,55,22286761,161545171,Melbourne,Entire home/apt,Condo
Condo,Port Phillip,NA,71,NA,NA,2,1,1,1,4.89,9,0.18,3,1,1464,0.18,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,100,22312293,47446507,Port Phillip,Entire home/apt,Condo
Condo,Boroondara,NA,56.8,NA,NA,2,1,1,1,4.92,52,1.07,4,1,1463,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,80,22349037,27562781,Boroondara,Entire home/apt,Condo
Condo,Melbourne,NA,85.19999999999999,NA,NA,6,1,2,3,4.66,33,0.67,1,2,1472,0.67,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,120,22368959,48117761,Melbourne,Entire home/apt,Condo
Condo,Whitehorse,within a few hours,59.64,100,80,4,1,2,3,4.35,24,0.51,1,3,1414,0.51,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,84,22459835,29080590,Whitehorse,Entire home/apt,Condo
Condo,Melbourne,NA,99.39999999999999,NA,NA,6,2,2,3,NA,0,NA,1,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,140,22469533,41975055,Melbourne,Entire home/apt,Condo
Condo,Stonnington,NA,106.5,NA,NA,3,2,4,4,5,1,0.02,1,1,1469,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,150,22489956,164940891,Stonnington,Entire home/apt,Condo
Condo,Monash,NA,98.69,NA,NA,2,1,1,1,NA,0,NA,1,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,139,22490195,164945872,Monash,Entire home/apt,Condo
Condo,Port Phillip,NA,63.9,NA,NA,4,1,1,2,0,1,0.02,1,1,1458,0.02,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,90,22679552,166306635,Port Phillip,Entire home/apt,Condo
Condo,Port Phillip,NA,123.53999999999999,NA,NA,6,2,2,2,4.94,95,1.98,2,1,1439,1.98,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,174,22853803,169022723,Port Phillip,Entire home/apt,Condo
Loft,Yarra,NA,85.19999999999999,NA,NA,2,1,1,1,4.86,52,1.12,2,1,1387,1.12,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,120,23149301,24567351,Yarra,Entire home/apt,Loft
Loft,Melbourne,NA,68.16,NA,NA,2,1,1,1,4.5,8,0.19,3,1,1274,0.19,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,96,23172244,46957125,Melbourne,Entire home/apt,Loft
Loft,Port Phillip,NA,134.19,NA,NA,4,1,2,2,NA,0,NA,3,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,189,23565645,46348058,Port Phillip,Entire home/apt,Loft
Condo,Port Phillip,within an hour,107.21,100,100,2,1,1,1,4.93,43,0.93,1,1,1385,0.93,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,151,23734664,30513216,Port Phillip,Entire home/apt,Condo
Serviced_apartment,Stonnington,within a day,192.41,80,24,6,1,2,2,4.6,5,0.13,30,15,1162,0.13,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,271,23771755,3518112,Stonnington,Entire home/apt,Serviced_apartment
Serviced_apartment,Maribyrnong,within an hour,112.17999999999999,100,58,3,1,1,1,4.88,33,0.78,1,4,1273,0.78,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,158,23776426,178383372,Maribyrnong,Entire home/apt,Serviced_apartment
Serviced_apartment,Melbourne,within a few hours,127.8,95,31,2,1,1,1,NA,0,NA,30,18,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,180,23966813,156409670,Melbourne,Entire home/apt,Serviced_apartment
Serviced_apartment,Melbourne,within a few hours,131.35,95,31,4,2,2,2,NA,0,NA,28,18,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,185,23967704,156409670,Melbourne,Entire home/apt,Serviced_apartment
Serviced_apartment,Melbourne,NA,84.49,NA,100,3,1,1,2,4.76,138,3,1,2,1380,3,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,119,23980725,180386332,Melbourne,Entire home/apt,Serviced_apartment
Condo,Melbourne,within an hour,126.38,100,100,6,2,2,3,4.6,141,3.31,2,3,1276,3.31,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,178,24160549,125610375,Melbourne,Entire home/apt,Condo
Serviced_apartment,Melbourne,within a few hours,159.75,95,31,2,1,1,3,NA,0,NA,3,18,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,225,24295346,156409670,Melbourne,Entire home/apt,Serviced_apartment
Loft,Darebin,within an hour,50.41,100,98,2,1,NA,1,4.79,160,3.72,1,9,1289,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,71,24438431,174864582,Darebin,Entire home/apt,Loft
Serviced_apartment,Melbourne,within a day,88.75,85,91,3,1,1,1,4.26,44,0.98,1,26,1350,0.98,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,125,24561428,139528807,Melbourne,Entire home/apt,Serviced_apartment
Serviced_apartment,Bayside,within an hour,82.36,90,99,2,1,1,1,4.66,110,2.47,1,2,1333,2.47,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,116,24610115,166651302,Bayside,Entire home/apt,Serviced_apartment
Serviced_apartment,Melton,within an hour,71,100,86,4,1,2,3,NA,0,NA,6,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,100,24631617,103799178,Melton,Entire home/apt,Serviced_apartment
Condo,Yarra,within an hour,95.85,100,88,2,1,1,1,4.81,32,0.71,2,2,1343,0.71,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,135,24645619,24540332,Yarra,Entire home/apt,Condo
Loft,Melbourne,NA,71,NA,NA,4,1.5,1,1,5,1,0.02,14,1,1274,0.02,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,100,25125967,122741239,Melbourne,Entire home/apt,Loft
Serviced_apartment,Melbourne,within an hour,204.48,77,98,2,1,1,1,4.28,18,0.43,7,2,1246,0.43,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,288,25139430,189846182,Melbourne,Entire home/apt,Serviced_apartment
Serviced_apartment,Melbourne,within an hour,120.69999999999999,65,100,2,1,1,1,4,1,0.07,7,2,429,0.07,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,170,25140072,189846843,Melbourne,Entire home/apt,Serviced_apartment
Serviced_apartment,Melbourne,a few days or more,143.42,33,98,3,1,1,1,4.24,29,0.82,7,2,1056,0.82,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,202,25141274,189847343,Melbourne,Entire home/apt,Serviced_apartment
Serviced_apartment,Melbourne,NA,78.1,NA,NA,2,1.5,1,1,4.56,48,1.09,1,7,1316,1.09,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,110,25312383,96962159,Melbourne,Entire home/apt,Serviced_apartment
Serviced_apartment,Melbourne,a few days or more,232.88,33,98,5,1,2,2,4,4,0.11,7,2,1049,0.11,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,328,25488643,189847343,Melbourne,Entire home/apt,Serviced_apartment
Serviced_apartment,Melbourne,within an hour,291.09999999999997,77,98,4,1,2,2,4.38,8,0.21,7,2,1148,0.21,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,410,25489123,189846182,Melbourne,Entire home/apt,Serviced_apartment
Serviced_apartment,Melbourne,within an hour,142,65,100,2,1,1,1,4.33,3,0.48,7,2,186,0.48,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,200,25490486,189846843,Melbourne,Entire home/apt,Serviced_apartment
Condo,Melbourne,NA,49.699999999999996,NA,NA,2,1,1,3,NA,0,NA,100,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,70,25542787,192719610,Melbourne,Entire home/apt,Condo
Serviced_apartment,Port Phillip,within an hour,80.22999999999999,99,97,4,1,1,2,4.73,268,6.18,1,9,1300,6.18,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,113,25590000,67024990,Port Phillip,Entire home/apt,Serviced_apartment
Loft,Melbourne,NA,78.1,NA,NA,4,2,2,2,4.88,25,0.74,2,1,1019,0.74,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,110,25811447,55561050,Melbourne,Entire home/apt,Loft
Serviced_apartment,Melbourne,within a day,74.55,85,91,2,1,1,1,4.35,68,1.57,1,26,1295,1.57,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,105,26012333,139528807,Melbourne,Entire home/apt,Serviced_apartment
Condo,Yarra,NA,213,NA,NA,4,1,2,2,0,1,0.02,12,2,1226,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,300,26072261,56402844,Yarra,Entire home/apt,Condo
Condo,Melbourne,within an hour,129.93,100,91,4,1,2,2,4.93,169,4.04,2,2,1254,4.04,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,183,26121887,196335073,Melbourne,Entire home/apt,Condo
Condo,Melbourne,a few days or more,42.599999999999994,NA,NA,3,1,NA,2,4.5,2,0.05,90,3,1286,0.05,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,60,26306023,138824257,Melbourne,Entire home/apt,Condo
Condo,Port Phillip,NA,102.94999999999999,NA,NA,2,1,1,1,4.9,10,0.24,4,1,1269,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,145,26337407,43381284,Port Phillip,Entire home/apt,Condo
Condo,Melbourne,within an hour,202.35,100,100,6,2,3,4,4.97,67,1.62,5,1,1236,1.62,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,0,285,26567729,3364488,Melbourne,Entire home/apt,Condo
Serviced_apartment,Bayside,within an hour,93.72,90,99,2,1,1,1,4.56,32,0.77,1,2,1246,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,132,26574181,166651302,Bayside,Entire home/apt,Serviced_apartment
Serviced_apartment,Yarra,within a few hours,568,75,100,5,1,3,3,4.88,8,0.19,1,1,1253,0.19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,800,26722995,195297416,Yarra,Entire home/apt,Serviced_apartment
Serviced_apartment,Melbourne,within a few hours,73.13,100,NA,4,1,1,1,3.8,5,0.13,4,5,1120,0.13,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,103,26816161,198548641,Melbourne,Entire home/apt,Serviced_apartment
Condo,Yarra,within an hour,102.94999999999999,99,98,2,1,1,1,4.87,23,0.55,5,31,1263,0.55,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,145,26821779,22630928,Yarra,Entire home/apt,Condo
Condo,Port Phillip,NA,92.3,NA,NA,2,1,1,1,5,1,0.03,2,1,1027,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,130,27202761,3987183,Port Phillip,Entire home/apt,Condo
Condo,Darebin,NA,91.58999999999999,NA,NA,2,1,1,1,4.83,40,0.98,5,1,1219,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,129,27376815,206327065,Darebin,Entire home/apt,Condo
Loft,Yarra,NA,56.8,NA,NA,2,1,1,1,5,6,0.14,2,1,1247,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,80,27441573,3199707,Yarra,Entire home/apt,Loft
Condo,Melbourne,NA,99.39999999999999,NA,NA,4,1,2,2,4.84,19,0.46,3,1,1239,0.46,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,140,27511089,24471811,Melbourne,Entire home/apt,Condo
Condo,Melbourne,within an hour,162.59,100,88,6,2,3,3,4.72,92,2.23,3,3,1238,2.23,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,229,27553849,148156913,Melbourne,Entire home/apt,Condo
